emp_no,first_name,last_name,title,from_date,salary
10001,Georgi,Facello,Senior Engineer,6/26/1986,60117
10004,Chirstian,Koblick,Engineer,12/1/1986,40054
10004,Chirstian,Koblick,Senior Engineer,12/1/1995,40054
10009,Sumant,Peac,Assistant Engineer,2/18/1985,60929
10009,Sumant,Peac,Engineer,2/18/1990,60929
10009,Sumant,Peac,Senior Engineer,2/18/1995,60929
10018,Kazuhide,Peha,Engineer,4/3/1987,55881
10018,Kazuhide,Peha,Senior Engineer,4/3/1995,55881
10035,Alain,Chappelet,Engineer,9/5/1988,41538
10035,Alain,Chappelet,Senior Engineer,9/5/1996,41538
10053,Sanjiv,Zschoche,Senior Staff,11/13/1994,67854
10058,Berhard,McFarlin,Senior Staff,4/25/1988,52787
10066,Kwee,Schusler,Assistant Engineer,2/26/1986,69736
10066,Kwee,Schusler,Engineer,2/26/1992,69736
10066,Kwee,Schusler,Senior Engineer,2/25/1998,69736
10067,Claudi,Stavenow,Engineer,3/4/1987,44642
10067,Claudi,Stavenow,Senior Engineer,3/3/1996,44642
10070,Reuven,Garigliano,Technique Leader,10/14/1985,55999
10072,Hironoby,Sidou,Engineer,5/21/1989,40000
10072,Hironoby,Sidou,Senior Engineer,5/21/1995,40000
10076,Erez,Ritzmann,Senior Engineer,7/15/1996,47319
10088,Jungsoon,Syrzycki,Senior Staff,9/2/1993,65957
10088,Jungsoon,Syrzycki,Staff,9/2/1988,65957
10100,Hironobu,Haraldson,Senior Staff,9/21/1994,54398
10100,Hironobu,Haraldson,Staff,9/21/1987,54398
10103,Akemi,Birch,Engineer,1/12/1998,68158
10126,Kayoko,Valtorta,Senior Staff,9/8/1991,40000
10126,Kayoko,Valtorta,Staff,9/8/1985,40000
10129,Armond,Peir,Technique Leader,1/16/1996,40000
10130,Nishit,Casperson,Senior Engineer,6/21/1988,40000
10134,Diederik,Siprelle,Engineer,12/12/1987,40000
10134,Diederik,Siprelle,Senior Engineer,12/12/1994,40000
10138,Perry,Shimshoni,Engineer,3/3/1992,53574
10138,Perry,Shimshoni,Senior Engineer,3/3/2001,53574
10150,Zhenbing,Perng,Engineer,11/16/1986,70122
10150,Zhenbing,Perng,Senior Engineer,11/16/1995,70122
10153,Heekeun,Majewski,Assistant Engineer,1/8/2000,54246
10157,Nigel,Aloisi,Senior Engineer,12/10/1997,48770
10198,Pranav,Furedi,Engineer,8/31/1985,44076
10198,Pranav,Furedi,Senior Engineer,8/31/1993,44076
10215,Xiaobin,Duclos,Senior Staff,11/23/1991,43944
10224,Leon,Trogemann,Engineer,1/9/1988,40000
10224,Leon,Trogemann,Senior Engineer,1/9/1996,40000
10233,Lein,Vendrig,Senior Staff,4/28/2000,40000
10233,Lein,Vendrig,Staff,4/29/1994,40000
10258,Basil,Ishibashi,Assistant Engineer,5/17/1985,66280
10258,Basil,Ishibashi,Engineer,5/17/1991,66280
10258,Basil,Ishibashi,Senior Engineer,5/16/1997,66280
10272,Yishai,Cannane,Staff,10/23/1997,58070
10282,Hercules,Benzmuller,Assistant Engineer,5/2/1996,40000
10282,Hercules,Benzmuller,Engineer,5/2/2001,40000
10283,Kauko,Birjandi,Engineer,5/25/1988,40000
10283,Kauko,Birjandi,Senior Engineer,5/26/1995,40000
10326,Masali,Czap,Staff,9/2/1998,40000
10340,Djelloul,Laventhal,Senior Staff,3/30/1993,68132
10340,Djelloul,Laventhal,Staff,3/30/1988,68132
10347,Pradeep,Kaminger,Staff,2/20/1998,42199
10355,Satyanarayana,Cochrane,Staff,1/26/1996,70434
10356,Vasilis,Standera,Senior Staff,6/26/1995,45376
10364,Nakhoon,Dengi,Senior Engineer,11/14/1985,51401
10372,Anneli,Frijda,Technique Leader,7/30/1985,54505
10387,Parto,Wrigley,Senior Staff,1/7/1999,61374
10387,Parto,Wrigley,Staff,1/7/1994,61374
10396,Sibyl,Rahier,Senior Engineer,1/11/1986,40393
10402,Volkmar,Ebeling,Technique Leader,1/2/1987,40000
10404,Prodip,Rosti,Engineer,8/28/1988,51647
10404,Prodip,Rosti,Senior Engineer,8/28/1996,51647
10426,Arunas,Luce,Technique Leader,7/6/1985,65757
10429,Martien,Improta,Senior Engineer,9/23/1988,40000
10432,Hisao,Tiemann,Senior Staff,8/12/1996,40000
10432,Hisao,Tiemann,Staff,8/13/1990,40000
10451,Bodh,Ranta,Assistant Engineer,3/12/1988,46275
10451,Bodh,Ranta,Engineer,3/12/1993,46275
10451,Bodh,Ranta,Senior Engineer,3/12/1998,46275
10453,Tsvetan,Matzel,Senior Staff,4/2/1993,40000
10453,Tsvetan,Matzel,Staff,4/2/1985,40000
10463,Ung,Zaiane,Staff,2/17/1994,66480
10486,Amstein,Kossowski,Engineer,10/8/1987,71692
10486,Amstein,Kossowski,Senior Engineer,10/7/1996,71692
10494,Yakkov,Servieres,Engineer,12/18/1991,50094
10494,Yakkov,Servieres,Senior Engineer,12/17/2000,50094
10504,Xiong,Varker,Staff,10/19/1999,43931
10512,Udi,Gihr,Senior Staff,11/28/1998,40000
10512,Udi,Gihr,Staff,11/28/1989,40000
10522,Marke,Cesareni,Senior Staff,12/12/1995,40000
10522,Marke,Cesareni,Staff,12/12/1986,40000
10548,Ramalingam,Gunderson,Senior Staff,7/4/1993,90631
10548,Ramalingam,Gunderson,Staff,7/4/1986,90631
10564,Jianhao,Thisen,Engineer,11/23/1995,46660
10564,Jianhao,Thisen,Senior Engineer,11/22/2000,46660
10623,Aleksander,Danlos,Engineer,1/15/1992,60268
10623,Aleksander,Danlos,Senior Engineer,1/15/1999,60268
10628,Krisda,Krogh,Assistant Engineer,3/14/1987,41650
10628,Krisda,Krogh,Engineer,3/14/1994,41650
10628,Krisda,Krogh,Senior Engineer,3/14/2001,41650
10631,Inderjeet,Chaudhuri,Engineer,10/18/1994,40000
10642,Hirochika,Narlikar,Engineer,10/5/1998,40000
10653,Otmar,Feinberg,Senior Engineer,4/30/1987,40000
10671,Parviz,Rebaine,Senior Staff,9/13/2001,74037
10671,Parviz,Rebaine,Staff,9/14/1995,74037
10676,Valeri,Danley,Engineer,9/4/1999,58226
10693,Berhard,Daescu,Senior Staff,1/8/1991,40000
10693,Berhard,Daescu,Staff,1/8/1986,40000
10702,Bader,Szemeredi,Senior Engineer,1/14/1991,46581
10718,Adib,Rullman,Engineer,7/21/1988,75473
10718,Adib,Rullman,Senior Engineer,7/21/1997,75473
10726,Zita,Minakawa,Engineer,2/25/1992,46315
10726,Zita,Minakawa,Senior Engineer,2/24/2001,46315
10734,Sachar,Erdi,Engineer,12/19/1995,47377
10745,Poorav,Ranze,Engineer,1/23/1988,40000
10745,Poorav,Ranze,Senior Engineer,1/22/1997,40000
10749,King,Brendel,Engineer,9/26/1985,60829
10749,King,Brendel,Senior Engineer,9/26/1990,60829
10767,Monique,Doering,Staff,7/15/1997,40651
10768,Ishfaq,Candan,Engineer,7/4/1985,65717
10768,Ishfaq,Candan,Senior Engineer,7/4/1990,65717
10778,Selwyn,Merey,Senior Staff,7/4/1986,64996
10791,Tadahiko,Sgarro,Engineer,7/30/1988,40000
10791,Tadahiko,Sgarro,Senior Engineer,7/31/1995,40000
10795,Supot,Naudin,Senior Staff,5/3/1999,84206
10795,Supot,Naudin,Staff,5/3/1993,84206
10808,Chenxi,Leijenhorst,Senior Engineer,3/7/1987,40000
10835,Tomoyuki,Kermarrec,Engineer,8/22/1995,40000
10836,Jianhua,Leivant,Senior Staff,8/10/1987,65502
10844,Dipayan,Koprowski,Engineer,4/25/1997,40000
10847,Theirry,Danley,Senior Staff,7/24/1992,40000
10847,Theirry,Danley,Staff,7/25/1986,40000
10848,Fen,Bratsberg,Engineer,4/20/1985,50475
10848,Fen,Bratsberg,Senior Engineer,4/20/1992,50475
10878,Lakshmi,Deville,Staff,4/25/1997,72102
10879,Muzhong,Chleq,Senior Engineer,8/15/1985,65651
10883,Shimshon,Champarnaud,Engineer,12/28/1996,40000
10909,Georgi,Atchley,Engineer,12/26/1993,80935
10909,Georgi,Atchley,Senior Engineer,12/26/2000,80935
10921,Mara,Bahi,Engineer,7/27/1986,72601
10921,Mara,Bahi,Senior Engineer,7/27/1995,72601
10924,Hironoby,Atchley,Senior Staff,8/14/1997,84783
10924,Hironoby,Atchley,Staff,8/14/1988,84783
10927,Gal,Scallan,Senior Staff,9/12/1993,51819
10927,Gal,Scallan,Staff,9/12/1986,51819
10936,Mountaz,Schicker,Senior Staff,5/8/1996,40000
10936,Mountaz,Schicker,Staff,5/9/1990,40000
10943,Berna,Skafidas,Engineer,5/22/1993,45890
10943,Berna,Skafidas,Senior Engineer,5/22/1999,45890
10965,Eckart,Braunschweig,Senior Staff,7/29/1986,61654
10969,Premal,Noriega,Senior Engineer,5/12/1994,40000
