emp_no,first_name,last_name,title,from_date
10001,Georgi,Facello,Senior Engineer,6/26/1986
10004,Chirstian,Koblick,Senior Engineer,12/1/1995
10009,Sumant,Peac,Senior Engineer,2/18/1995
10018,Kazuhide,Peha,Senior Engineer,4/3/1995
10035,Alain,Chappelet,Senior Engineer,9/5/1996
10053,Sanjiv,Zschoche,Senior Staff,11/13/1994
10058,Berhard,McFarlin,Senior Staff,4/25/1988
10066,Kwee,Schusler,Senior Engineer,2/25/1998
10067,Claudi,Stavenow,Senior Engineer,3/3/1996
10070,Reuven,Garigliano,Technique Leader,10/14/1985
10072,Hironoby,Sidou,Senior Engineer,5/21/1995
10076,Erez,Ritzmann,Senior Engineer,7/15/1996
10088,Jungsoon,Syrzycki,Senior Staff,9/2/1993
10100,Hironobu,Haraldson,Senior Staff,9/21/1994
10103,Akemi,Birch,Engineer,1/12/1998
10126,Kayoko,Valtorta,Senior Staff,9/8/1991
10129,Armond,Peir,Technique Leader,1/16/1996
10130,Nishit,Casperson,Senior Engineer,6/21/1988
10134,Diederik,Siprelle,Senior Engineer,12/12/1994
10138,Perry,Shimshoni,Senior Engineer,3/3/2001
10150,Zhenbing,Perng,Senior Engineer,11/16/1995
10153,Heekeun,Majewski,Assistant Engineer,1/8/2000
10157,Nigel,Aloisi,Senior Engineer,12/10/1997
10198,Pranav,Furedi,Senior Engineer,8/31/1993
10215,Xiaobin,Duclos,Senior Staff,11/23/1991
10224,Leon,Trogemann,Senior Engineer,1/9/1996
10233,Lein,Vendrig,Senior Staff,4/28/2000
10258,Basil,Ishibashi,Senior Engineer,5/16/1997
10272,Yishai,Cannane,Staff,10/23/1997
10282,Hercules,Benzmuller,Engineer,5/2/2001
10283,Kauko,Birjandi,Senior Engineer,5/26/1995
10326,Masali,Czap,Staff,9/2/1998
10340,Djelloul,Laventhal,Senior Staff,3/30/1993
10347,Pradeep,Kaminger,Staff,2/20/1998
10355,Satyanarayana,Cochrane,Staff,1/26/1996
10356,Vasilis,Standera,Senior Staff,6/26/1995
10364,Nakhoon,Dengi,Senior Engineer,11/14/1985
10372,Anneli,Frijda,Technique Leader,7/30/1985
10387,Parto,Wrigley,Senior Staff,1/7/1999
10396,Sibyl,Rahier,Senior Engineer,1/11/1986
10402,Volkmar,Ebeling,Technique Leader,1/2/1987
10404,Prodip,Rosti,Senior Engineer,8/28/1996
10426,Arunas,Luce,Technique Leader,7/6/1985
10429,Martien,Improta,Senior Engineer,9/23/1988
10432,Hisao,Tiemann,Senior Staff,8/12/1996
10451,Bodh,Ranta,Senior Engineer,3/12/1998
10453,Tsvetan,Matzel,Senior Staff,4/2/1993
10463,Ung,Zaiane,Staff,2/17/1994
10486,Amstein,Kossowski,Senior Engineer,10/7/1996
10494,Yakkov,Servieres,Senior Engineer,12/17/2000
10504,Xiong,Varker,Staff,10/19/1999
10512,Udi,Gihr,Senior Staff,11/28/1998
10522,Marke,Cesareni,Senior Staff,12/12/1995
10548,Ramalingam,Gunderson,Senior Staff,7/4/1993
10564,Jianhao,Thisen,Senior Engineer,11/22/2000
10623,Aleksander,Danlos,Senior Engineer,1/15/1999
10628,Krisda,Krogh,Senior Engineer,3/14/2001
10631,Inderjeet,Chaudhuri,Engineer,10/18/1994
10642,Hirochika,Narlikar,Engineer,10/5/1998
10653,Otmar,Feinberg,Senior Engineer,4/30/1987
10671,Parviz,Rebaine,Senior Staff,9/13/2001
10676,Valeri,Danley,Engineer,9/4/1999
10693,Berhard,Daescu,Senior Staff,1/8/1991
10702,Bader,Szemeredi,Senior Engineer,1/14/1991
10718,Adib,Rullman,Senior Engineer,7/21/1997
10726,Zita,Minakawa,Senior Engineer,2/24/2001
10734,Sachar,Erdi,Engineer,12/19/1995
10745,Poorav,Ranze,Senior Engineer,1/22/1997
10749,King,Brendel,Senior Engineer,9/26/1990
10767,Monique,Doering,Staff,7/15/1997
10768,Ishfaq,Candan,Senior Engineer,7/4/1990
10778,Selwyn,Merey,Senior Staff,7/4/1986
10791,Tadahiko,Sgarro,Senior Engineer,7/31/1995
10795,Supot,Naudin,Senior Staff,5/3/1999
10808,Chenxi,Leijenhorst,Senior Engineer,3/7/1987
10835,Tomoyuki,Kermarrec,Engineer,8/22/1995
10836,Jianhua,Leivant,Senior Staff,8/10/1987
10844,Dipayan,Koprowski,Engineer,4/25/1997
10847,Theirry,Danley,Senior Staff,7/24/1992
10848,Fen,Bratsberg,Senior Engineer,4/20/1992
10878,Lakshmi,Deville,Staff,4/25/1997
10879,Muzhong,Chleq,Senior Engineer,8/15/1985
10883,Shimshon,Champarnaud,Engineer,12/28/1996
10909,Georgi,Atchley,Senior Engineer,12/26/2000
10921,Mara,Bahi,Senior Engineer,7/27/1995
10924,Hironoby,Atchley,Senior Staff,8/14/1997
10927,Gal,Scallan,Senior Staff,9/12/1993
10936,Mountaz,Schicker,Senior Staff,5/8/1996
10943,Berna,Skafidas,Senior Engineer,5/22/1999
10965,Eckart,Braunschweig,Senior Staff,7/29/1986
10969,Premal,Noriega,Senior Engineer,5/12/1994
10974,Muneo,Papsdorf,Senior Engineer,5/17/1999
10986,Masako,Schiper,Technique Leader,10/11/1985
10988,Chinya,Deyuan,Senior Engineer,6/19/1985
10989,Sumali,Candan,Senior Staff,7/20/1991
10990,Shin,Foote,Technique Leader,8/6/1990
11009,Alper,Axelband,Senior Staff,9/9/1993
11012,Taegyun,Speckmann,Staff,7/6/1996
11019,Leon,Huttel,Senior Engineer,5/24/1997
11021,Srinidhi,Henders,Staff,2/2/1998
11027,Remzi,Cappello,Senior Engineer,5/6/1996
11031,Ottavia,Walstra,Senior Staff,10/24/1993
11037,Lansing,Maliniak,Senior Engineer,1/28/1995
11038,Jinya,Beidas,Senior Staff,7/15/1992
11042,Gou,Breugel,Senior Engineer,6/21/2000
11048,Jaques,Demke,Senior Staff,5/27/1999
11050,Elvis,Katiyar,Senior Staff,5/6/1991
11051,Przemyslawa,Erol,Senior Engineer,3/26/2000
11070,Adib,Raney,Senior Engineer,7/24/1991
11081,Barry,Boyle,Senior Staff,6/17/1994
11085,Hailing,Thummel,Senior Engineer,2/10/1996
11100,Berna,Cochrane,Senior Staff,10/13/1993
11106,Aris,Iwayama,Senior Engineer,8/30/1997
11112,Boaz,Mukaidono,Staff,4/28/1995
11113,Shahab,Peng,Senior Staff,11/30/1991
11121,Vugranam,Kakkad,Senior Engineer,11/1/1999
11133,Nalini,Azulay,Technique Leader,3/6/1994
11134,Sachar,Rajcani,Senior Engineer,5/19/2002
11137,Hugh,Luca,Engineer,3/16/1995
